"QUESTION_TEXT","OPTIONA","OPTIONB","OPTIONC","OPTIOND","CORRECT_ANSWER","CATEGORY","TOPIC","SUBTOPIC","DIFFICULTY","EXPLANATION","TAGS","TIPS","CORRECTION","SOURCE","POINTS","ACTIVE","TIMES_ANSWERED","TIMES_CORRECT"
"Meilenstein M hat FAZ=30, FEZ=30, SAZ=32, SEZ=32. Was ist die Dauer?","0","2","30","32","A","Geschäftsprozesse","","","3","Meilensteine haben keine Dauer, nur einen Zeitpunkt.","","","","KRITISCHE_NETZPLAN_FRAGEN","2","TRUE","0","0"
"Netzplan: A(4)→C(3)→E(2), A(4)→D(5)→E(2), B(3)→D(5)→E(2). Projektdauer?","9","10","11","14","B","Geschäftsprozesse","","","3","Pfade: A-C-E=9, A-D-E=11, B-D-E=10. Maximum der Pfade = 11, aber B und A parallel, daher max(4,3)+5+2=11, aber A-C-E nur 9, somit kritisch: B-D-E=10 oder A-D-E=11. Korrekt: max(4,3)=4, dann A-D-E=4+5+2=11 Tage.","","","","KRITISCHE_NETZPLAN_FRAGEN","14","TRUE","0","0"
"Was ist der Unterschied zwischen Lastenheft und Pflichtenheft?","Kein Unterschied","Lastenheft vom Auftraggeber, Pflichtenheft vom Auftragnehmer","Pflichtenheft vom Auftraggeber, Lastenheft vom Auftragnehmer","Nur der Umfang","B","Geschäftsprozesse","","","2","Lastenheft: Was/Warum (Auftraggeber), Pflichtenheft: Wie (Auftragnehmer).","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Was bedeutet das T in SMART?","Technical","Time-bound","Testable","Transparent","B","Geschäftsprozesse","","","1","T steht für Time-bound (terminiert/zeitgebunden).","","","","KRITISCHE_NETZPLAN_FRAGEN","2","TRUE","0","0"
"Ein Vorgang auf dem kritischen Pfad verzögert sich. Was passiert?","Nichts","Projekt verzögert sich","Nur dieser Vorgang verzögert sich","Puffer wird genutzt","B","Geschäftsprozesse","","","2","Verzögerungen auf dem kritischen Pfad verzögern das gesamte Projekt.","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Berechnung: Vorgang K hat Vorgänger mit FEZ=18 und FEZ=22. Dauer von K ist 5. Was ist FEZ von K?","23","27","40","25","B","Geschäftsprozesse","","","3","FAZ(K) = max(18,22) = 22, FEZ(K) = FAZ + Dauer = 22 + 5 = 27","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Rückwärtsrechnung: Vorgang L hat Nachfolger mit SAZ=40 und SAZ=38. Dauer von L ist 7. Was ist SAZ von L?","31","33","38","40","A","Geschäftsprozesse","","","3","SEZ(L) = min(40,38) = 38, SAZ(L) = SEZ - Dauer = 38 - 7 = 31","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Was ist KEIN typisches Projektmerkmal?","Einmaligkeit","Wiederkehrend","Zielorientierung","Komplexität","B","Geschäftsprozesse","","","2","Projekte sind einmalig, nicht wiederkehrend (das wäre Routine).","","","","KRITISCHE_NETZPLAN_FRAGEN","2","TRUE","0","0"
"GP eines Vorgangs ist 4, FP ist 2. Was bedeutet das?","4 Tage Reserve insgesamt, 2 ohne Nachfolger zu stören","2 Tage Reserve insgesamt, 4 ohne Projekt zu stören","Fehlerhafte Berechnung","6 Tage Reserve total","A","Geschäftsprozesse","","","3","GP=4: 4 Tage Gesamtreserve, FP=2: davon 2 Tage ohne Nachfolger zu beeinflussen.","","","","KRITISCHE_NETZPLAN_FRAGEN","4","TRUE","0","0"
"Kritischer Pfad hat 5 Vorgänge mit je GP=0. Ein Vorgang wird um 30% schneller (ursprünglich 10 Tage). Neue Projektdauer wenn ursprünglich 50 Tage?","47 Tage","45 Tage","40 Tage","35 Tage","A","Geschäftsprozesse","","","3","10 Tage × 30% = 3 Tage Ersparnis. 50 - 3 = 47 Tage.","","","","KRITISCHE_NETZPLAN_FRAGEN","4","TRUE","0","0"
"Was zeigt ein Gantt-Diagramm?","Nur Abhängigkeiten","Zeitliche Abfolge als Balken","Nur Kosten","Nur Ressourcen","B","Geschäftsprozesse","","","2","Gantt-Diagramme zeigen Vorgänge als Balken auf einer Zeitachse.","","","","KRITISCHE_NETZPLAN_FRAGEN","2","TRUE","0","0"
"Parallelisierung: 3 Vorgänge (8, 12, 10 Tage) können parallel laufen. Zeitersparnis gegenüber sequenziell?","10 Tage","12 Tage","18 Tage","20 Tage","C","Geschäftsprozesse","","","3","Sequenziell: 8+12+10=30 Tage. Parallel: max(8,12,10)=12 Tage. Ersparnis: 30-12=18 Tage.","","","","KRITISCHE_NETZPLAN_FRAGEN","4","TRUE","0","0"
"Was ist die Hauptaufgabe des Projektmanagements?","Programmierung","Planung, Steuerung und Kontrolle","Nur Dokumentation","Nur Kostenkontrolle","B","Geschäftsprozesse","","","2","Projektmanagement umfasst Planung, Steuerung und Kontrolle von Projekten.","","","","KRITISCHE_NETZPLAN_FRAGEN","2","TRUE","0","0"
"Ein Vorgang hat GP=3 und wird um 5 Tage verzögert. Auswirkung?","Keine","Projekt 2 Tage später","Projekt 3 Tage später","Projekt 5 Tage später","A","Geschäftsprozesse","","","3","5 Tage Verzögerung - 3 Tage Puffer = 2 Tage Projektverzögerung.","","","","KRITISCHE_NETZPLAN_FRAGEN","4","TRUE","0","0"
"Was ist ein Meilenstein?","Vorgang mit langer Dauer","Ereignis ohne Dauer","Kritischer Vorgang","Pufferzeit","B","Geschäftsprozesse","","","1","Meilensteine sind Ereignisse/Zeitpunkte ohne eigene Dauer.","","","","KRITISCHE_NETZPLAN_FRAGEN","2","TRUE","0","0"
"SMART-Ziel: 'Umsatz steigern'. Was fehlt?","Specific","Measurable","Achievable","Alle außer Specific","D","Geschäftsprozesse","","","2","Es fehlen: Measurable (um wieviel?), Achievable (realistisch?), Realistic, Time-bound (bis wann?).","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Vorgang hat 3 Vorgänger: FEZ=12, FEZ=10, FEZ=14. FAZ des Vorgangs?","10","12","14","36","C","Geschäftsprozesse","","","3","FAZ = Maximum aller Vorgänger-FEZ = max(12,10,14) = 14","","","","KRITISCHE_NETZPLAN_FRAGEN","2","TRUE","0","0"
"Vorgang hat 2 Nachfolger: SAZ=25, SAZ=22. SEZ des Vorgangs?","22","25","47","23,5","A","Geschäftsprozesse","","","3","SEZ = Minimum aller Nachfolger-SAZ = min(25,22) = 22","","","","KRITISCHE_NETZPLAN_FRAGEN","2","TRUE","0","0"
"Netzplan-Optimierung: Kritischer Pfad 20 Tage. Paralleler Pfad 18 Tage. Kritischen Pfad um 3 Tage verkürzen?","Projekt 3 Tage kürzer","Projekt 2 Tage kürzer","Projekt 1 Tag kürzer","Keine Änderung","C","Geschäftsprozesse","","","3","Kritisch: 20-3=17 Tage. Parallel: 18 Tage. Neuer kritischer Pfad: 18 Tage. Ersparnis: 20-18=2 Tage... Falsch! 20-3=17, aber 18 wird kritisch, also nur 20-18=2 Tage Ersparnis.","","","","KRITISCHE_NETZPLAN_FRAGEN","5","TRUE","0","0"
"Was bedeutet der Begriff 'Ressourcenkonflikt'?","Zu hohe Kosten","Mehrere Vorgänge benötigen gleiche Ressource gleichzeitig","Mitarbeiter krank","Materialmangel","B","Geschäftsprozesse","","","2","Ressourcenkonflikt: Gleiche Ressource wird gleichzeitig mehrfach benötigt.","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Fast Tracking bedeutet im Projektmanagement?","Überstunden","Parallelisierung von Vorgängen","Mehr Mitarbeiter","Weniger Qualität","B","Geschäftsprozesse","","","3","Fast Tracking: Eigentlich sequenzielle Vorgänge werden parallelisiert.","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Was ist Crashing im Projektmanagement?","Projekt scheitert","Zusätzliche Ressourcen zur Beschleunigung","System-Absturz","Kosten sparen","B","Geschäftsprozesse","","","2","Crashing: Zusätzliche Ressourcen einsetzen um Vorgänge zu beschleunigen.","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Der Unterschied zwischen FP und GP?","FP ist immer größer","GP ist immer größer oder gleich FP","FP ist immer größer oder gleich GP","Kein Zusammenhang","B","Geschäftsprozesse","","","3","GP ≥ FP, da GP die gesamte Reserve angibt, FP nur die ohne Nachfolger-Einfluss.","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Vorgang A: FAZ=5, Dauer=4, GP=2. Wann muss A spätestens beginnen?","5","7","9","11","B","Geschäftsprozesse","","","3","SAZ = FAZ + GP = 5 + 2 = 7","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Was passiert wenn zwei kritische Pfade existieren?","Fehler im Netzplan","Beide müssen überwacht werden","Nur einer ist wirklich kritisch","Projekt unmöglich","B","Geschäftsprozesse","","","3","Bei mehreren kritischen Pfaden müssen alle überwacht werden.","","","","KRITISCHE_NETZPLAN_FRAGEN","4","TRUE","0","0"
"Projektstrukturplan (PSP) zeigt?","Zeitliche Abfolge","Hierarchische Gliederung der Aufgaben","Nur Kosten","Nur Personal","B","Geschäftsprozesse","","","2","PSP gliedert das Projekt hierarchisch in Teilaufgaben/Arbeitspakete.","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Earned Value Management: PV=100k€, EV=80k€, AC=90k€. Schedule Variance?","-20k€","-10k€","+10k€","0k€","A","Geschäftsprozesse","","","3","Schedule Variance (SV) = EV - PV = 80k - 100k = -20k€ (hinter Plan).","","","","KRITISCHE_NETZPLAN_FRAGEN","4","TRUE","0","0"
"Was ist die 100%-Regel beim PSP?","100% der Zeit planen","Jede Ebene muss 100% der darüberliegenden abdecken","100% Puffer einplanen","100% Ressourcenauslastung","B","Geschäftsprozesse","","","2","Die Summe der Unterelemente muss 100% des Oberelements abdecken.","","","","KRITISCHE_NETZPLAN_FRAGEN","3","TRUE","0","0"
"Critical Chain Method berücksichtigt zusätzlich?","Nur Kosten","Ressourcenverfügbarkeit","Nur Qualität","Wetter","B","Geschäftsprozesse","","","3","Critical Chain berücksichtigt neben Abhängigkeiten auch Ressourcenkonflikte.","","","","KRITISCHE_NETZPLAN_FRAGEN","4","TRUE","0","0"
"PERT-Schätzung: Optimistisch=4, Wahrscheinlich=6, Pessimistisch=14. Erwartungswert?","6","7","8","9","B","Geschäftsprozesse","","","3","PERT = (O + 4×W + P) / 6 = (4 + 24 + 14) / 6 = 42/6 = 7","","","","KRITISCHE_NETZPLAN_FRAGEN","4","TRUE","0","0"
"Was ist das Hauptziel eines Projekts?","Routine etablieren","Ein einmaliges Ziel erreichen","Dauerhaft arbeiten","Kosten sparen","B","Geschäftsprozesse","","","1","Projekte sind einmalig und zielorientiert, im Gegensatz zu Routineaufgaben.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Welche Formel berechnet den Gesamtpuffer (GP)?","GP = FEZ - FAZ","GP = SEZ - SAZ","GP = SAZ - FAZ","GP = SEZ - FEZ","C","Geschäftsprozesse","","","2","Gesamtpuffer = Spätester Anfang minus Frühester Anfang (SAZ - FAZ).","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was bedeutet es, wenn der Freie Puffer (FP) = 0 ist?","Vorgang ist nicht kritisch","Verzögerung beeinflusst sofort Nachfolger","Projekt hat keinen Puffer","Vorgang kann entfallen","B","Geschäftsprozesse","","","2","FP=0 bedeutet, jede Verzögerung beeinflusst direkt die Nachfolger.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Wie viele Oktette hat eine IPv4-Adresse?","2","3","4","8","C","Vernetzte Systeme","","","1","IPv4-Adressen bestehen aus 4 Oktetten (z.B. 192.168.1.1).","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist die Loopback-Adresse in IPv6?","::1","fe80::1","ff02::1","2001::1","A","Vernetzte Systeme","","","2","::1 ist die IPv6 Loopback-Adresse (entspricht 127.0.0.1 in IPv4).","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Welche IPv6-Adresse ist global eindeutig?","fe80::","ff02::","2001:db8::","::1","C","Vernetzte Systeme","","","3","2001:db8:: ist ein Beispiel für eine global eindeutige IPv6-Adresse.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Wie viele Schichten hat das OSI-Modell?","5","6","7","8","C","Allgemeinwissen","","","1","Das OSI-Modell besteht aus 7 Schichten.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Welche Schicht ist für die Ende-zu-Ende-Kommunikation zuständig?","Network","Transport","Session","Application","B","Allgemeinwissen","","","2","Die Transport-Schicht (4) gewährleistet die Ende-zu-Ende-Kommunikation.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was arbeitet auf der Physical Layer?","Router","Switch","Hub","Firewall","C","Allgemeinwissen","","","2","Hubs arbeiten auf Schicht 1 (Physical Layer) des OSI-Modells.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Wie beginnt eine Variable in PowerShell?","@","$","#","%","B","Allgemeinwissen","","","1","PowerShell-Variablen beginnen immer mit dem Dollar-Zeichen ($).","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was gibt 'Get-Process | Where-Object {$_.CPU -gt 100}' zurück?","Alle Prozesse","Prozesse mit mehr als 100% CPU","Prozesse mit mehr als 100 Sekunden CPU-Zeit","Fehler","C","Allgemeinwissen","","","2","Filtert Prozesse mit mehr als 100 Sekunden kumulierter CPU-Zeit.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist der Output von: [Math]::Round(3.7)","3","4","3.7","Fehler","B","Allgemeinwissen","","","3","Math::Round rundet mathematisch, 3.7 wird zu 4.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist Phishing?","Virenschutz","Betrugsversuch per E-Mail","Firewall-Typ","Backup-Methode","B","IT-Sicherheit","","","1","Phishing ist ein Betrugsversuch, meist per gefälschter E-Mail.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Welche Verschlüsselung ist symmetrisch?","RSA","AES","ECC","DSA","B","IT-Sicherheit","","","2","AES ist ein symmetrisches Verschlüsselungsverfahren.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist der Unterschied zwischen IDS und IPS?","Kein Unterschied","IDS erkennt nur, IPS blockiert auch","IPS erkennt nur, IDS blockiert auch","Verschiedene Hersteller","B","IT-Sicherheit","","","3","IDS (Detection) erkennt Angriffe, IPS (Prevention) blockiert sie aktiv.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Wie lange ist die Aufbewahrungsfrist für Geschäftsbriefe?","2 Jahre","6 Jahre","10 Jahre","Unbegrenzt","B","IT-Sicherheit","","","1","Geschäftsbriefe müssen 6 Jahre aufbewahrt werden.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist ein Auftragsverarbeiter nach DSGVO?","Datenschutzbeauftragter","Externer Dienstleister der Daten verarbeitet","Behörde","Geschäftsführer","B","IT-Sicherheit","","","2","Auftragsverarbeiter verarbeitet personenbezogene Daten im Auftrag.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Wann ist eine Datenschutz-Folgenabschätzung erforderlich?","Immer","Bei hohem Risiko für Betroffene","Nie","Nur bei Behörden","B","IT-Sicherheit","","","3","DSFA ist bei hohem Risiko für Rechte und Freiheiten erforderlich.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was bedeutet ROI?","Return on Investment","Rate of Interest","Risk of Investment","Revenue on Income","A","Geschäftsprozesse","","","1","ROI = Return on Investment, misst die Rentabilität einer Investition.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Fixkosten 5000€, variable Kosten 10€/Stück, Verkaufspreis 25€/Stück. Break-Even?","200","333","500","1000","B","Geschäftsprozesse","","","2","Break-Even = Fixkosten/(Preis-variable Kosten) = 5000/15 = 333,33","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was ist die Nutzwertanalyse?","Kostenrechnung","Bewertungsverfahren mit gewichteten Kriterien","Zeitplanung","Personaleinsatz","B","Geschäftsprozesse","","","3","Nutzwertanalyse bewertet Alternativen anhand gewichteter Kriterien.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was ist RAM?","Festplattenspeicher","Flüchtiger Arbeitsspeicher","Prozessor","Grafikkarte","B","IT-Systeme","","","1","RAM ist flüchtiger Arbeitsspeicher (Random Access Memory).","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Welche RAID-Level bietet Spiegelung?","RAID 0","RAID 1","RAID 5","RAID 6","B","IT-Systeme","","","2","RAID 1 spiegelt Daten auf mehrere Festplatten.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist der Unterschied zwischen SATA und NVMe?","Kein Unterschied","NVMe ist schneller über PCIe","SATA ist schneller","Nur der Anschluss","B","IT-Systeme","","","3","NVMe nutzt PCIe und ist deutlich schneller als SATA.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was bedeutet SQL?","Structured Query Language","System Query Logic","Server Question Language","Simple Query List","A","Anwendungsentwicklung","","","1","SQL = Structured Query Language für Datenbankabfragen.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was macht PRIMARY KEY?","Verschlüsselt Daten","Eindeutige Identifikation","Sortierung","Backup","B","Anwendungsentwicklung","","","2","PRIMARY KEY identifiziert jeden Datensatz eindeutig.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist der Unterschied zwischen INNER und LEFT JOIN?","Kein Unterschied","INNER nur Übereinstimmungen, LEFT alle aus linker Tabelle","LEFT nur Übereinstimmungen, INNER alle","Geschwindigkeit","B","Anwendungsentwicklung","","","3","INNER JOIN zeigt nur Matches, LEFT JOIN alle aus linker Tabelle.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was ist eine Variable?","Konstante","Speicherplatz für Werte","Funktion","Schleife","B","Anwendungsentwicklung","","","1","Variablen sind benannte Speicherplätze für veränderbare Werte.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was macht eine FOR-Schleife?","Endlosschleife","Wiederholt Code bestimmte Anzahl","Einmalige Ausführung","Verzweigung","B","Anwendungsentwicklung","","","2","FOR-Schleifen wiederholen Code eine bestimmte Anzahl mal.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist Rekursion?","Schleife","Funktion ruft sich selbst auf","Fehlerbehandlung","Datentyp","B","Anwendungsentwicklung","","","3","Rekursion: Eine Funktion ruft sich selbst auf.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was ist ein Hypervisor?","Antivirus","Software für virtuelle Maschinen","Hardware-Komponente","Netzwerkprotokoll","B","Allgemeinwissen","","","1","Hypervisor verwaltet virtuelle Maschinen.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist der Unterschied zwischen Typ-1 und Typ-2 Hypervisor?","Kein Unterschied","Typ-1 auf Hardware, Typ-2 auf OS","Typ-2 auf Hardware, Typ-1 auf OS","Nur Geschwindigkeit","B","Allgemeinwissen","","","2","Typ-1 läuft direkt auf Hardware, Typ-2 auf einem Host-OS.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist Container-Virtualisierung?","Volle VM","OS-Level Virtualisierung","Hardware-Emulation","Netzwerk-Virtualisierung","B","Allgemeinwissen","","","3","Container teilen sich den Kernel des Host-OS.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was bedeutet SaaS?","Software as a Service","System as a Service","Storage as a Service","Security as a Service","A","Allgemeinwissen","","","1","SaaS = Software as a Service, Software aus der Cloud.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist der Unterschied zwischen Public und Private Cloud?","Kein Unterschied","Public für alle, Private exklusiv","Private für alle, Public exklusiv","Nur Kosten","B","Allgemeinwissen","","","2","Public Cloud ist öffentlich, Private Cloud exklusiv für eine Organisation.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist Hybrid Cloud?","Nur lokal","Kombination aus Public und Private Cloud","Nur Public Cloud","Mehrere Public Clouds","B","Allgemeinwissen","","","3","Hybrid Cloud kombiniert Private und Public Cloud.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was ist ein Prozess?","Hardware","Programm in Ausführung","Datei","Netzwerkverbindung","B","Geschäftsprozesse","","","1","Ein Prozess ist ein Programm in Ausführung mit eigenem Speicherbereich.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was macht der Scheduler?","Dateiverwaltung","Prozessverwaltung und CPU-Zuteilung","Netzwerkverwaltung","Benutzerverwaltung","B","Geschäftsprozesse","","","2","Der Scheduler teilt CPU-Zeit an Prozesse zu.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist ein Deadlock?","Systemabsturz","Prozesse blockieren sich gegenseitig","Virus","Speicherfehler","B","Geschäftsprozesse","","","3","Deadlock: Prozesse warten gegenseitig auf Ressourcen.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was bedeutet QM?","Query Management","Qualitätsmanagement","Quick Method","Quota Management","B","Geschäftsprozesse","","","1","QM = Qualitätsmanagement zur Sicherung der Qualität.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist ISO 9001?","Sicherheitsnorm","Qualitätsmanagement-Norm","Umweltnorm","Datenschutznorm","B","Geschäftsprozesse","","","2","ISO 9001 ist die internationale Norm für Qualitätsmanagementsysteme.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist der PDCA-Zyklus?","Plan-Do-Check-Act","Process-Data-Control-Analyze","Program-Debug-Compile-Apply","Print-Delete-Copy-Archive","A","Geschäftsprozesse","","","3","PDCA = Plan-Do-Check-Act, kontinuierlicher Verbesserungsprozess.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was bedeutet HTML?","HyperText Markup Language","High Tech Modern Language","Home Tool Markup Language","Hyper Transfer Markup Logic","A","Anwendungsentwicklung","","","1","HTML = HyperText Markup Language für Webseitenstruktur.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist der Unterschied zwischen GET und POST?","Kein Unterschied","GET in URL, POST im Body","POST in URL, GET im Body","Nur Sicherheit","B","Anwendungsentwicklung","","","2","GET-Parameter in URL sichtbar, POST im Request-Body.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist CORS?","Verschlüsselung","Cross-Origin Resource Sharing","Cookie-Verwaltung","Caching","B","Anwendungsentwicklung","","","3","CORS regelt Zugriff auf Ressourcen von anderen Domains.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was ist eine App?","Nur Spiele","Anwendungssoftware für mobile Geräte","Betriebssystem","Hardware","B","Allgemeinwissen","","","1","App = Application, Anwendungssoftware meist für mobile Geräte.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist der Unterschied zwischen nativer und Web-App?","Kein Unterschied","Native installiert, Web im Browser","Web installiert, Native im Browser","Nur Geschwindigkeit","B","Allgemeinwissen","","","2","Native Apps werden installiert, Web-Apps laufen im Browser.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist eine Progressive Web App (PWA)?","Native App","Web-App mit nativen Features","Nur für iOS","Desktop-Anwendung","B","Allgemeinwissen","","","3","PWAs sind Web-Apps mit nativen Funktionen wie Offline-Modus.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was bedeutet CI/CD?","Computer Integration/Computer Development","Continuous Integration/Continuous Deployment","Code Import/Code Deploy","Compile Instantly/Compile Daily","B","Allgemeinwissen","","","1","CI/CD = Continuous Integration/Continuous Deployment.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist Docker?","Virtualisierung","Container-Plattform","Programmiersprache","Datenbank","B","Allgemeinwissen","","","2","Docker ist eine Plattform für Container-Virtualisierung.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist Kubernetes?","Datenbank","Container-Orchestrierung","Programmiersprache","Monitoring-Tool","B","Allgemeinwissen","","","3","Kubernetes orchestriert und verwaltet Container-Cluster.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was ist ein Log?","Passwort","Aufzeichnung von Ereignissen","Datenbank","Backup","B","Allgemeinwissen","","","1","Logs zeichnen Ereignisse und Aktivitäten auf.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was misst die Latenz?","Bandbreite","Verzögerungszeit","Durchsatz","Fehlerrate","B","Allgemeinwissen","","","2","Latenz misst die Verzögerungszeit bei der Datenübertragung.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist APM?","Application Performance Monitoring","Automatic Process Management","Advanced Protocol Manager","Active Power Management","A","Allgemeinwissen","","","3","APM = Application Performance Monitoring überwacht Anwendungsleistung.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was ist eine Blockchain?","Datenbank","Verkettete Datenblöcke","Verschlüsselung","Cloud-Speicher","B","Allgemeinwissen","","","1","Blockchain ist eine Kette von kryptografisch verbundenen Datenblöcken.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist Mining?","Datensuche","Neue Blöcke validieren und erstellen","Löschen","Backup","B","Allgemeinwissen","","","2","Mining validiert Transaktionen und erstellt neue Blöcke.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist ein Smart Contract?","Vertrag auf Papier","Selbstausführender Code in Blockchain","E-Mail-Vertrag","PDF-Dokument","B","Allgemeinwissen","","","3","Smart Contracts sind selbstausführende Verträge in der Blockchain.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was bedeutet KI?","Kleine Integration","Künstliche Intelligenz","Kabel Interface","Kern Installation","B","Allgemeinwissen","","","1","KI = Künstliche Intelligenz.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist Machine Learning?","Hardwarereparatur","System lernt aus Daten","Programmierung","Datenbank","B","Allgemeinwissen","","","2","Machine Learning: Systeme lernen aus Daten ohne explizite Programmierung.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist ein neuronales Netz?","Netzwerkkabel","KI-Modell inspiriert vom Gehirn","Internet","Router","B","Allgemeinwissen","","","3","Neuronale Netze sind KI-Modelle inspiriert von biologischen Neuronen.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was bedeutet IoT?","Internet of Things","Internal Operating Technology","Input Output Transfer","Integrated Office Tools","A","Allgemeinwissen","","","1","IoT = Internet of Things, vernetzte Geräte.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
"Was ist MQTT?","Datenbank","Leichtgewichtiges Messaging-Protokoll","Verschlüsselung","Betriebssystem","B","Allgemeinwissen","","","2","MQTT ist ein Protokoll für IoT-Kommunikation.","","","","MEGA_FRAGEN_SET_1","3","TRUE","0","0"
"Was ist Edge Computing?","Cloud Computing","Datenverarbeitung am Netzwerkrand","Zentrale Verarbeitung","Backup-Strategie","B","Allgemeinwissen","","","3","Edge Computing verarbeitet Daten nahe der Quelle.","","","","MEGA_FRAGEN_SET_1","4","TRUE","0","0"
"Was ist Scrum?","Programmiersprache","Agiles Framework","Datenbank","Hardware","B","Allgemeinwissen","","","1","Scrum ist ein agiles Framework für Projektmanagement.","","","","MEGA_FRAGEN_SET_1","2","TRUE","0","0"
