category,difficulty,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,points
"Mobile",2,"Was ist APK?","Apple Package","Android Package","Application Pack","App Kernel","B","APK = Android Package, Installationsdatei für Android.",3
"IoT",2,"Was ist Zigbee?","Programmiersprache","Drahtloses Kommunikationsprotokoll","Datenbank","Betriebssystem","B","Zigbee ist ein stromsparendes Funkprotokoll für IoT.",3
"Projektmanagement",1,"Was bedeutet das A in SMART?","Achievable","Automatic","Advanced","Approved","A","A steht für Achievable (erreichbar) in SMART-Zielen.",2
"Netzwerktechnik",1,"Was ist ein Gateway?","Tor","Übergang zwischen Netzwerken","Firewall","Switch","B","Gateway verbindet unterschiedliche Netzwerke.",2
"OSI-Modell",1,"HTTP arbeitet auf welcher Schicht?","4","5","6","7","D","HTTP arbeitet auf Layer 7 (Application).",2
"PowerShell",1,"Kommentare in PowerShell beginnen mit?","//","#","/*","--","B","Einzeilige Kommentare beginnen mit #.",2
"IT-Sicherheit",1,"Was ist Malware?","Gute Software","Schadsoftware","Hardware","Update","B","Malware = Malicious Software (Schadsoftware).",2
"Datenschutz",1,"DSGVO gilt seit?","2016","2018","2020","2022","B","DSGVO gilt seit 25. Mai 2018.",2
"Wirtschaftlichkeit",1,"Was sind Fixkosten?","Variable Kosten","Konstante Kosten","Einmalige Kosten","Keine Kosten","B","Fixkosten fallen unabhängig von der Produktionsmenge an.",2
"Hardware",1,"CPU steht für?","Computer Processing Unit","Central Processing Unit","Core Processing Unit","Central Power Unit","B","CPU = Central Processing Unit (Prozessor).",2
"Datenbanken",1,"Was ist eine Tabelle?","Dokument","Strukturierte Datensammlung","Bild","Video","B","Tabellen speichern strukturierte Daten in Zeilen und Spalten.",2
"Programmierung",1,"Was ist ein Algorithmus?","Fehler","Lösungsverfahren","Datentyp","Variable","B","Algorithmus ist eine Handlungsvorschrift zur Problemlösung.",2
